word	pos	pron	gw	freq	def	example
April	noun [C or U]	/ˈeɪ.prəl/		A1	the fourth month of the year, after March and before May	the 20th of April/April 20(th)|The meeting was held on the fourth of April/April fourth.|I took a course in London last April.|I'm taking a course in London next April.|We came back in April.
August	noun [C or U]	/ˈɔː.gəst/		A1	the eighth month of the year, after July and before September	the 13th of August/August 13(th)|We've got friends coming at the end of August.|They got married last August.|They're getting married next August.|It was one of the hottest Augusts on record.
CD	noun [C]	/ˌsiːˈdiː/		A1	compact disc: a small disc on which music or information is recorded	His CD collection is huge.
CD player	noun [C]	/siːˈdiːˌpleɪ.ər/		A1	a machine that is used for playing music CDs	She has a CD player in her bedroom.
DVD	noun [C]	/ˌdiː.viːˈdiː/		A1	digital versatile disc or digital video disc: a disc used for storing and playing music, films or information	I've got a DVD of the first series.|Is the movie available on DVD?|a DVD player
December	noun [C or U]	/dɪˈsem.bər/		A1	the twelfth and last month of the year	the 23rd of December/December 23(rd)|Their baby was born last December.|Jonathan finishes his course next December.|My parents got married in/during December.|It was one of the coldest Decembers ever.
February	noun [C or U]	/ˈfeb.ju.er.i/		A1	the second month of the year, after January and before March	the 28th of February/February 28(th)|I was born on the fifth of February/February fifth.|We moved into a new house last February|We are moving into a new house next February.|Building work is expected to start in February.
Friday	noun [C or U]	/ˈfrɑɪ.deɪ/		A1	the day of the week after Thursday and before Saturday	Do you want to go to the theater on Friday?|I love Fridays because I leave work early.
I	pronoun	/ɑɪ/		A1	used when the person speaking or writing is the subject of the verb	I love you.|Did I tell you about my vacation?|I'm not late, am I?|I'd like some coffee.
January	noun [C or U]	/ˈdʒæn.jʊˌer.i/		A1	the first month of the year, after December and before February	Her father died in January.|His birthday is January 25th.|We go skiing in Germany every January.
July	noun [C or U]	/dʒʊˈlɑɪ/		A1	the seventh month of the year, after June and before August	July 22(nd)|Ben's birthday is the eleventh of July.|next/last July|The film festival is in/during July.
June	noun [C or U]	/dʒuːn/		A1	the sixth month of the year, after May and before July	Her birthday is June 24th.|He arrived on the fifth of June/June the fifth.|last/next June|I went to visit my father in June.
March	noun [C or U]	/mɑrtʃ/		A1	the third month of the year, after February and before April	the 26th of March/March 26th|My birthday is March eleventh.|He retired last March.|We're going to Australia next March.|We'll get together in March.
May	noun [C or U]	/meɪ/		A1	the fifth month of the year, after April and before June	the 30th of May/May 30(th)|My mother's birthday is in May.|They came over last May.|We'll see her next May.
Miss	noun	/mɪs/		A1	a title for a girl or woman who is not married, used before her family name or full name	Dr. White will see you now, Miss Carter.|Miss Helena Lewis
Monday	noun [C or U]	/ˈmʌn.deɪ/		A1	the day of the week after Sunday and before Tuesday	I start my new job on Monday.|I saw her last Monday.|We leave next Monday.|I was born on a Monday.
Mr.	noun	/ˈmɪs.tər/		A1	a title for a man, used before his family name or full name	Mr. Jones/Mr. David Jones|Good afternoon, Mr. Dawson.|This package is addressed to Mr. Gordon Harper.|We're looking for a Mr. George Smith.
Mrs.	noun	/ˈmɪs.ɪz/		A1	a title for a married woman, used before her family name or full name	Mrs. Wood/Mrs. Jean Wood|Hello, Mrs. Grant, how are you today?|Please send your application to the finance director, Mrs. Laura Fox.
November	noun [C or U]	/noʊˈvem.bər/		A1	the eleventh month of the year, after October and before December	5(th) of November/November 5(th)|Guy Fawkes' Night is on the fifth of November.|The factory opened last November.|He's starting his new job in November.
OK	exclamation	/oʊˈkeɪ/	AGREEING	A1	used when agreeing to do something or when allowing someone to do something	"Could you pick me up at the train station?" "OK, what time?"|"I'll pay you back tomorrow." "OK, no problem."
OK	adjective	/oʊˈkeɪ/	NOT SICK/UPSET, ETC.	A1	not sick, damaged, upset, etc.	Are you OK? You look pale.|How's Paola? Is she okay after her fall yesterday?|"Is everything OK with you?" "Yes, fine."|I'll just check that the car's okay - that was a big bang!
October	noun [C or U]	/ɑkˈtoʊ.bər/		A1	the tenth month of the year, after September and before November	the 22nd of October/October 22nd|We're leaving for Italy on October ninth/the ninth of October.|Sara's birthday is some time in October.|It's been the wettest October for years.
Saturday	noun [C or U]	/ˈsæt̬.ər.deɪ/		A1	the day of the week after Friday and before Sunday	He's leaving on Saturday.|Most of our swim meets are held on Saturdays.|Joel was born on a Saturday.|last/next Saturday|Saturday morning/afternoon/evening
September	noun [C or U]	/sepˈtem.bər/		A1	the ninth month of the year, after August and before October	the 23rd of September/September 23(rd)|We're leaving for France on September ninth/the ninth of September.|Claudia started school last September/is starting school next September.|My mother's birthday is in September.
Sunday	noun [C or U]	/ˈsʌn.deɪ/		A1	the day of the week after Saturday and before Monday	They go walking every Sunday.|We're going to visit my aunt and uncle on Sunday.
T-shirt	noun [C]	/ˈtiː.ʃɜrt/		A1	a piece of cotton clothing for the top part of the body with short sleeves and no collar	She was wearing jeans and a T-shirt.
TV	noun [C or U]	/ˌtiːˈviː/		A1	television	What's on TV tonight?|You watch too much TV!|We ate in front of the TV.|TV personalities
Thursday	noun [C or U]	/ˈθɜrz.deɪ/		A1	the day of the week after Wednesday and before Friday	I'm having my hair cut after work on Thursday.|Thursday morning|We meet on the second Thursday of every month.
Tuesday	noun [C or U]	/ˈtuːz.deɪ/		A1	the day of the week after Monday and before Wednesday	We'll meet at eight on Tuesday.|We meet every Tuesday.|Tuesday afternoon|The twenty-ninth is a Tuesday, isn't it?
Web site	noun [C]	/ˈweb.sɑɪt/		A1	a set of pages of information on the Internet about a particular subject that have been published by the same person or organization and that often contain color pictures, video, and sound	For more information about other Cambridge titles, visit our Web site at www.cambridge.org.
Wednesday	noun [C or U]	/ˈwenz.deɪ/		A1	the day of the week after Tuesday and before Thursday	Did you say the meeting is on Wednesday?|The restaurant is always closed on Wednesdays.|Wednesday would be a good day for us to go running.
a	determiner	/eɪ/	NOT PARTICULAR	A1	used before a noun to refer to a single thing or person but not a particular thing or person or not one that you have referred to before	She's got a boyfriend.|Someone left an umbrella here yesterday.|Is he a friend of yours?
a	determiner	/eɪ/	ANY/EVERY	A1	used to mean any or every thing or person of the type you are referring to	Can you ride a bike?|A child needs love.|A cheetah can run faster than a lion.
a	determiner	/eɪ/	ONE	A1	one	a hundred dollars|a dozen eggs
a	determiner	/eɪ/	TYPE	A1	used to state what type of thing or person something or someone is	Sally's an engineer.|It's a rabbit.
a.m.	adverb	/eɪˈem/		A1	used to refer to a time between twelve o'clock at night and twelve o'clock in the middle of the day	We're open between 9 a.m. and 5 p.m. daily.|The first election results are expected around 1 a.m.
about	preposition	/əˈbɑʊt/	SUBJECT	A1	relating to a particular subject or person	What's she talking about?|I've got a book about Jung.
about	adverb	/əˈbɑʊt/		A1	a little more or less than the stated number or amount	It happened about two months ago.|"What time are you leaving work today?" "About five."
